pmid	title	virus_name	virus_abbr	virus_family	virus_genus	host_phylum	host_class	host_common_name	host_association_method	discovery_context	match_type	host_score
36420491	Rapid regulation of hemocyte homeostasis in crayfish and its manipulation by viral infection.	abolished by white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	3
36420492	NLRP3-like protein negatively regulates the expression of antimicrobial peptides in 	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	4
36420492	NLRP3-like protein negatively regulates the expression of antimicrobial peptides in 	iniae and white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	4
36420505	BigPEN, an antimicrobial peptide of penaeidin family from shrimp 	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	6
36420505	BigPEN, an antimicrobial peptide of penaeidin family from shrimp 	activity against white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36420513	Different expression pattern of thrombospondin gene in the presence and absence of β-glucan fed 	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	5
36420513	Different expression pattern of thrombospondin gene in the presence and absence of β-glucan fed 	challenged with white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	5
36420513	Different expression pattern of thrombospondin gene in the presence and absence of β-glucan fed 	triggered during immunostimulant administration and virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	5
36426947	An AhR-Caspase Axis Mediated Antiviral Apoptosis in an Arthropod.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	known	6
36426947	An AhR-Caspase Axis Mediated Antiviral Apoptosis in an Arthropod.	challenge of white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36426947	An AhR-Caspase Axis Mediated Antiviral Apoptosis in an Arthropod.	by heightened susceptibility and elevated virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36426947	An AhR-Caspase Axis Mediated Antiviral Apoptosis in an Arthropod.	exposure to white spot syndrome virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36426947	An AhR-Caspase Axis Mediated Antiviral Apoptosis in an Arthropod.	resulted in elevated virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36426947	An AhR-Caspase Axis Mediated Antiviral Apoptosis in an Arthropod.	caspase axis restrains virus				Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence	pattern	6
36436574	Milky hemolymph syndrome (MHS) associated with a virus in tanner crab Chionoecetes bairdi off the Pacific coast of Kamch	associated with a virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	3
36436574	Milky hemolymph syndrome (MHS) associated with a virus in tanner crab Chionoecetes bairdi off the Pacific coast of Kamch	caused by a bacilliform virus				Arthropoda	Malacostraca	crustacean	confirmed_infection	metagenomic_with_host_evidence	pattern	3
