pmid	title	virus_name	virus_abbr	virus_family	virus_genus	host_phylum	host_class	host_common_name	host_association_method	discovery_context
24090693	Detection and quantification of hepatopancreatic parvovirus in penaeid shrimp by real-time PCR assay.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24090693	Detection and quantification of hepatopancreatic parvovirus in penaeid shrimp by real-time PCR assay.	infectious hypodermal and hematopoietic necrosis virus	IHHNV	Parvoviridae	Penstyldensovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24090693	Detection and quantification of hepatopancreatic parvovirus in penaeid shrimp by real-time PCR assay.	hepatopancreatic parvovirus	HPV	Parvoviridae	Decapodpenstyldensovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24111694	White spot syndrome virus epizootic in cultured Pacific white shrimp Litopenaeus vannamei (Boone) in Taiwan.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24116143	Identification, characterization, and functional analysis of Tube and Pelle homologs in the mud crab Scylla paramamosain	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24120975	Molecular signatures at imminent death: hemocyte gene expression profiling of shrimp succumbing to viral and fungal infe	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24127689	Effect of multiple infections with white spot syndrome virus and Vibrio anguillarum on Pacific white shrimp Litopenaeus 	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24131426	Development of an immuno-based colorimetric assay for white spot syndrome virus.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24132569	A novel peroxinectin involved in antiviral and antibacterial immunity of mud crab, Scylla paramamosain.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24140299	Two novel C-type lectins with a low-density lipoprotein receptor class A domain have antiviral function in the shrimp Ma	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24140299	Two novel C-type lectins with a low-density lipoprotein receptor class A domain have antiviral function in the shrimp Ma	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Cnidaria	Hydrozoa	cnidarian	disease_outbreak	metagenomic_with_host_evidence
24140432	An LDLa domain-containing C-type lectin is involved in the innate immunity of Eriocheir sinensis.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24141991	cDNA cloning, characterization and expression analysis of peroxiredoxin 5 gene in the ridgetail white prawn Exopalaemon 	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24161778	Immunostimulatory activity of sulfated galactans isolated from the red seaweed Gracilaria fisheri and development of res	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24161778	Immunostimulatory activity of sulfated galactans isolated from the red seaweed Gracilaria fisheri and development of res	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Cnidaria	Hydrozoa	cnidarian	disease_outbreak	metagenomic_with_host_evidence
24200990	Ontogeny and water temperature influences the antiviral response of the Pacific oyster, Crassostrea gigas.	ostreid herpesvirus	OsHV	Malacoherpesviridae	Ostreavirus	Mollusca	Bivalvia	mollusk	disease_outbreak	metagenomic_with_host_evidence
24204661	Sequencing and de novo analysis of the hemocytes transcriptome in Litopenaeus vannamei response to white spot syndrome v	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24211341	Identification, characterization and functional analysis of a serine protease inhibitor (Lvserpin) from the Pacific whit	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured
24217020	Construction and application of a protein interaction map for white spot syndrome virus (WSSV).	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24239582	SpALF4: a newly identified anti-lipopolysaccharide factor from the mud crab Scylla paramamosain with broad spectrum anti	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24262300	Characterization of Argonaute2 gene from black tiger shrimp (Penaeus monodon) and its responses to immune challenges.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24290496	Risk factors associated with increased mortality of farmed Pacific oysters in Ireland during 2011.	ostreid herpesvirus 1	OsHV-1	Malacoherpesviridae	Ostreavirus	Mollusca	Bivalvia	mollusk	disease_outbreak	metagenomic_with_host_evidence
24290496	Risk factors associated with increased mortality of farmed Pacific oysters in Ireland during 2011.	ostreid herpesvirus	OsHV	Malacoherpesviridae	Ostreavirus	Mollusca	Bivalvia	mollusk	disease_outbreak	metagenomic_with_host_evidence
24293821	Transcript Analysis of White spot syndrome virus Latency and Phagocytosis Activating Protein Genes in Infected Shrimp (P	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24293828	Production and Application of Polyclonal Antibodies Against Recombinant Capsid Protein of Extra Small Virus of Macrobrac	macrobrachium rosenbergii nodavirus	MrNV	Nodaviridae	Alphanodavirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	isolated_and_cultured
24296895	White Spot Syndrome Virus infection in Penaeus monodon is facilitated by housekeeping molecules.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24296895	White Spot Syndrome Virus infection in Penaeus monodon is facilitated by housekeeping molecules.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Cnidaria	Hydrozoa	cnidarian	disease_outbreak	metagenomic_with_host_evidence
24300441	Prevalence of viral pathogens WSSV and IHHNV in wild organisms at the Pacific Coast of Mexico.	white spot syndrome virus	WSSV	Nimaviridae	Whispovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
24300441	Prevalence of viral pathogens WSSV and IHHNV in wild organisms at the Pacific Coast of Mexico.	infectious hypodermal and hematopoietic necrosis virus	IHHNV	Parvoviridae	Penstyldensovirus	Arthropoda	Malacostraca	crustacean	disease_outbreak	metagenomic_with_host_evidence
